S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
495,Dr.Reddy Labs,6.5,24.01.2017,NA,NA,NA,NA,NA,NA,NA,3,NA,
496,Synactive India Pvt Ltd,6.0,27.01.2017,NA,1,NA,0,NA,NA,NA,NA,NA,
497,Aurobindo Pharma (Chemical),3.6,31.01.2017,NA,NA,NA,NA,NA,NA,NA,3,NA,
498,ORACLE Poole,9.0,31.01.2017,0,1,0,0,NA,NA,NA,NA,NA,
499,Medha Servo Drives Pvt. Ltd,3.0,8.02.2017,1,NA,0,NA,0,NA,NA,NA,NA,
500,iB Hubs internship,3.0,20.02.2017,0,9,1,3,1,1,0,0,0,
501,Inspirage,4.8,22.02.2017,1,1,NA,0,NA,NA,NA,NA,NA,
502,Electronics Arts Games (EA),9.9,3.03.2017,NA,1,NA,0,NA,NA,NA,NA,NA,
503,BEL (Bharat Electronics Limited),8.6,6.03.2017,4,1,NA,NA,3,NA,0,NA,NA,
504,Ramky Enviro Engineers Limited,2.4,13.03.2017,NA,NA,NA,NA,5,NA,1,1,NA,
505,CoreCompete (iphigroup),4.2,14.03.2017,5,1,NA,0,NA,NA,NA,NA,NA,
506,Orient cement,4.0,16.03.2017,NA,NA,2,NA,2,NA,NA,,NA,
507,Spyry Technology  (Internship),3.0,19.03.2017,1,10,NA,1,NA,NA,NA,NA,NA,
508,Avaya India Pvt Ltd Internship,1.8,20.03.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
509,Bajaj Allianz  MBA,3.3,27.03.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
510,Aarvee Associates,3.5,30.03.2017,NA,NA,NA,NA,NA,NA,2,NA,NA,
511,ORACLE Poole,6.0,31.03.2017,0,1,NA,0,NA,NA,NA,NA,NA,
512,Bosch Limited,4.0,3.04.2017,NA,NA,1,NA,0,0,NA,NA,NA,
513,Hyundai Motor India Engineering,3.5,4.04.2017,NA,NA,NA,NA,1,NA,NA,NA,NA,
514,CPF (India) Pvt Ltd,4.8,7.04.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
515,CA Technology  (Internship),1.5,17.04.2017,NA,3,NA,0,NA,NA,NA,NA,NA,
516,Dr.Reddy Labs,6.5,20.04.2017,NA,NA,NA,NA,2,NA,NA,NA,NA,
517,Byju's,7.0,14.05.2017,3,2,0,0,3,0,1,0,3,
518,Netcracker Technology,5.5,18.05.2017,3,3,0,1,NA,NA,NA,NA,NA,
519,BEL (Bharat Electronics Limited),8.6,19.05.2017,3,NA,NA,NA,NA,NA,NA,NA,NA,
520,Microsoft Codess (Internship),5.4,19.05.2017,NA,1,NA,NA,NA,NA,NA,NA,NA,
521,TCS Internship (pool),1.2,20.05.2017,0,1,NA,0,NA,NA,NA,NA,NA,
522,Defteam Solutions Pvt.Ltd,3.5,22.05.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
523,RDC Concrete,3.5,22.05.2017,NA,NA,NA,NA,NA,NA,1,NA,NA,
524,JPMC Code for Good,6.5,16.07.2017,NA,15,NA,3,NA,NA,NA,NA,NA,
525,Accolite,10.0,19.07.2017,NA,0,NA,1,NA,NA,NA,NA,NA,
526,Oracle GBU,9.5,24.07.2017,0,2,0,2,NA,NA,NA,NA,NA,
527,Deloitte,6.2,1.08.2017,11,13,3,6,NA,NA,NA,NA,NA,
528,Next Education Solutions,7.0,4.08.2017,3,5,0,2,NA,NA,NA,NA,NA,
529,CoreCompete,7.0,10.08.2017,0,3,0,0,0,0,0,1,0,
530,Deloitte  (MBA),5.6,21.08.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
531,OYO,10.5,23.08.2017,NA,3,NA,0,NA,NA,NA,NA,NA,
532,Mroads,7.0,24.08.2017,1,0,0,0,0,0,0,0,0,
533,ServiceNow,10.9,28.08.2017,NA,3,NA,0,NA,NA,NA,NA,NA,
534,CA Technology,6.0,31.08.2017,NA,7,NA,2,NA,NA,NA,NA,NA,
535,CoreCompete,7.0,1.09.2017,NA,0,NA,1,NA,NA,NA,NA,NA,
536,Infosys,3.3,6.09.2017,32,44,10,17,16,2,6,1,2,
537,Accenture,3.5,9.09.2017,101,54,34,25,35,14,23,6,7,
538,NCR Corporation,5.5,12.09.2017,8,7,0,2,NA,NA,NA,NA,NA,
539,Technipfmc,5.7,13.09.2017,NA,NA,NA,NA,4,0,NA,NA,NA,
540,Wipro,3.3,16.09.2017,12,13,4,9,0,1,NA,NA,NA,
541,Capgemini,3.2,18.09.2017,16,5,1,3,1,1,0,1,NA,
542,Mindtree Ltd Pool,3.3,23.09.2017,7,1,NA,1,NA,NA,NA,NA,NA,
543,"GE Appliances, a Haier",6.4,27.09.2017,NA,2,NA,0,NA,NA,NA,NA,NA,
544,Intellect Design Arena,5.0,4.10.2017,NA,8,NA,7,NA,NA,NA,NA,NA,
545,Intellect Design Arena (Internship),2.2,4.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
546,DBS Asia Hub 2,10.0,7.10.2017,NA,12,NA,4,NA,NA,NA,NA,NA,
547,EZE Software,6.0,9.10.2017,NA,2,NA,0,NA,NA,NA,NA,NA,
548,Microsoft (Internship),5.4,9.10.2017,0,1,0,0,NA,NA,NA,NA,NA,
549,Franklin Templeton (MBA),3.5,10.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
550,AMD India Pvt Ltd (Internship),3.4,10.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
551,Karvy Stock Broking  (MBA),2.5,16.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
552,Microsoft IGD,10.8,25.10.2017,NA,2,NA,1,NA,NA,NA,NA,NA,
553,MRF Ltd (MBA),4.3,30.10.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
554,ITC Ltd,8.5,11.11.2017,NA,NA,1,NA,0,NA,NA,NA,NA,
555,IVY Comptech,7.0,27.11.2017,1,1,NA,0,NA,NA,NA,NA,NA,
556,Bank of America,4.3,29.11.2017,6,12,0,1,NA,NA,NA,NA,NA,
557,ICICI Securities MBA Pool,4.0,2.12.2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,
558,HIL,5.5,28.12.2017,1,0,0,0,0,0,NA,NA,NA,
559,"Cognizant ""Next""",6.5,2.01.2017,1,3,0,1,0,0,0,0,0,
560,HSBC,7.0,3.01.2017,NA,1,NA,1,NA,NA,NA,NA,NA,
561,Kotak Life Insurance (pool),3.5,10.01.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
562,Capital First Limited,6.6,17.01.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
563,Godrej Boyce & Mfg Co Ltd,5.5,22.01.2018,NA,NA,1,NA,1,0,NA,NA,NA,
564,Tata Projects,4.0,31.01.2018,NA,NA,NA,NA,NA,NA,3,NA,NA,
565,Orient cement,4.0,2.02.2018,NA,NA,2,NA,1,NA,NA,1,NA,
566,Franklin Templeton,4.8,15.02.2018,0,10,0,0,NA,NA,NA,NA,NA,
567,KPIT Technologies Ltd  Internship,2.4,16.03.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
568,Hetero Drugs,2.0,17.03.2018,NA,4,NA,0,NA,NA,NA,2,NA,
569,DXC Technologies  (pool),3.9,21.03.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
570,Dr.Reddy Labs,4.0,23.03.2018,NA,NA,NA,NA,4,NA,NA,1,NA,
571,Ramco Cements MBA,5.0,23.03.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
572,Byju's,9.0,23.03.2018,0,0,0,0,4,2,0,1,0,
573,IndiaMART InterMESH Ltd.,2.5,2.04.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
574,ITC Ltd   MBA,4.0,3.04.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
575,XSEED Education,11.0,8.04.2018,0,0,0,0,0,1,0,0,0,
576,Darwinbox,4.5,11.04.2018,0,0,0,0,1,0,0,0,0,
577,DATAWISE,3.5,16.04.2018,NA,2,NA,0,NA,NA,NA,NA,NA,
578,Sai Life Sciences,3.0,20.04.2018,NA,NA,NA,NA,NA,NA,NA,5,NA,
579,Hexagon Capability Center India Pvt. Ltd.,5.0,20.04.2018,NA,3,NA,0,1,0,NA,NA,NA,
580,Deloitte MBA Internship,3.0,7.02.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
581,Hetero Drugs,2.0,17.03.2018,NA,4,NA,0,NA,NA,NA,0,NA,
582,CA Technology,6.0,19.05.2018,NA,1,NA,0,NA,NA,NA,NA,NA,
583,Mytrah Energy Pvt. Ltd.,3.0,14.05.2018,NA,NA,5,NA,NA,NA,3,NA,NA,
584,Cognizant - (MBA-HR),4.6,18.05.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
585,MICROSOFT (Off Campus),36.0,14.11.2017,NA,1,NA,NA,NA,NA,NA,NA,NA,
586,MY HOME GROUP,2.4,19.05.2018,NA,NA,NA,NA,NA,NA,1,NA,NA,
587,Aurobindo,3.5,19.05.2018,NA,NA,NA,NA,6,NA,NA,1,1,
588,Cognizant Pool,3.4,2.06.2018,4,2,2,0,2,0,NA,NA,NA,
589,Verity Knowledge Solutions,3.8,5.06.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
590,Samsung R&D  PPO,7.5,18.06.2019,NA,3,NA,0,NA,NA,NA,NA,NA,
591,JPMC Code for Good,9.0,15.07.2018,1,12,NA,7,NA,NA,NA,NA,NA,
592,Deloitte,6.2,24.07.2018,19,11,3,9,NA,NA,NA,NA,NA,
593,Oracle,9.5,25.07.2018,0,15,0,3,NA,NA,NA,NA,NA,
594,MICROSOFT,39.0,27.07.2018,NA,3,NA,0,NA,NA,NA,NA,NA,
595,ServiceNow,10.9,27.07.2018,0,1,NA,1,NA,NA,NA,NA,NA,
596,Wipro (off campus),3.2,30.07.2018,0,1,NA,NA,NA,1,NA,NA,NA,
597,NCR,7.0,2.08.2018,5,10,NA,3,NA,NA,NA,NA,NA,
598,DarwinBox,6.6,7.08.2018,1,1,NA,0,NA,NA,NA,NA,NA,
599,Value Labs,12.0,8.08.2018,0,1,0,0,NA,NA,NA,NA,NA,
600,EZE Software,6.4,10.08.2018,0,2,NA,0,NA,NA,NA,NA,NA,
601,Bank of America,4.3,20.08.2018,4,16,0,10,NA,NA,NA,NA,NA,
602,TechnipFMC,6.0,20.08.2018,NA,NA,NA,NA,4,2,NA,NA,NA,
603,Deloitte Tax USI MBA,6.0,21.08.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
604,"HackwithiInfy (Infosys)         Power
Programmer Role",8.0,29.08.2018,0,2,0,1,0,0,0,0,0,
605,Epam Systems,6.0,5.09.2018,0,2,NA,1,NA,NA,NA,NA,NA,
606,Capgemini,3.5,7.09.2018,42,25,11,21,9,0,3,1,1,
607,Cognizant,3.4,9.09.2018,37,42,18,26,14,1,4,1,1,
608,Infosys,3.6,11.09.2018,70,52,31,42,34,6,15,1,6,
609,Infosys System Engineer Role,5.0,11.09.2018,0,6,0,2,NA,NA,NA,NA,NA,
610,VEDA IIT,3.6,12.09.1018,14,NA,NA,NA,NA,NA,NA,NA,NA,
611,Merilytics  Core,4.6,14.09.2018,0,6,2,1,0,0,0,NA,NA,
612,TCS Ninja,3.4,16.09.2018,24,10,6,10,2,1,NA,NA,NA,
613,Tata Elxsi Core,3.5,17.09.2018,11,2,2,2,NA,NA,NA,NA,NA,
614,Tata Elxsi Core,5.5,17.09.2018,NA,0,NA,1,NA,NA,NA,NA,NA,
615,Accenture,4.0,22.09.2018,29,20,31,18,NA,NA,NA,NA,NA,
616,PH Technologies,4.0,24.09.2018,NA,0,NA,3,NA,NA,NA,NA,NA,
617,Wells Fargo,6.4,26.09.2018,2,4,1,4,0,0,0,0,0,
618,"GE Appliances, a Haier company",6.3,27.09.2018,NA,2,NA,2,NA,NA,NA,NA,NA,
619,Medha Servo Drive,3.1,27.09.2018,2,NA,0,NA,0,0,NA,NA,NA,
620,"Hexagon Capability Center India
Pvt. Ltd.,",5.5,28.09.2018,NA,6,NA,2,1,0,1,NA,NA,
621,FranklinTempleton  MBA,3.5,1.10.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
622,Invesco,4.0,5.10.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
623,Karvy Stock Broking  (MBA),2.5,6.10.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
624,Nalsoft,4.0,8.10.2018,1,0,0,0,0,1,0,1,NA,
625,Corecopete,6.0,11.10.2018,0,0,1,0,2,NA,0,NA,NA,
626,AIR Worlwide,7.3,11.10.2018,NA,2,0,0,0,0,0,NA,NA,
627,Novarties Healthcare,4.8,12.10.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
628,Karvy,3.5,13.10.2018,1,5,NA,6,NA,NA,1,NA,NA,
629,S&P Global,3.5,13.10.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
630,CtrlS Datacenters Ltd,4.0,15.10.2018,2,1,NA,0,NA,NA,NA,NA,NA,
631,Spandana Sphoorty Fina Ltd,3.3,15.10.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
632,Accolite India,8.0,16.10.2018,NA,3,NA,3,NA,NA,NA,NA,NA,
633,Just Dial,3.0,24.11.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
634,Kotak Life,3.5,5.12.2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,
635,Dr.Reddy's Labs,4.0,10.12.2018,NA,NA,NA,NA,NA,NA,NA,NA,7,
636,HCL,6.0,12.12.2018,3,0,3,0,0,0,0,0,0,
637,Google ITPR,9.4,12.12.2018,1,1,0,0,NA,NA,NA,NA,NA,
638,Tvarana Software,4.0,14.12.2018,1,0,0,1,NA,NA,NA,NA,NA,
639,Fiat Chyrsler Automobiles,4.3,17.12.2018,1,NA,0,0,1,0,NA,NA,NA,
640,Caravel-AI,11.4,27.12.2018,NA,1,NA,0,NA,NA,NA,NA,NA,
641,Delhivery Backend Developer,8.0,27.12.2018,NA,3,NA,1,NA,NA,NA,NA,NA,
642,Carwale  MBA,3.3,22.01.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
643,Syntizen Technologies P Ltd MBA,4.3,24.01.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
644,Byju's,7.5,24.01.2019,0,0,0,1,1,1,0,0,1,
645,Godrej & Boyce Mfg Co,5.5,25.01.2019,NA,NA,NA,NA,1,NA,NA,NA,NA,
646,HIL Limited,4.5,28.01.2019,NA,NA,3,NA,2,NA,NA,2,NA,
647,Reliance Infocomm Ltd JIO,3.5,29.01.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
648,"Cognizant ""NEXT""",6.7,31.01.2019,NA,1,NA,2,NA,NA,NA,NA,NA,
649,ZF Technologies,4.3,1.02.2019,7,NA,0,NA,NA,NA,NA,NA,NA,
650,Premier Developers Pvt Ltd intern,1.2,1.02.2019,NA,NA,NA,NA,5,9,5,NA,NA,
651,MRF,4.4,30.01.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
652,Ryan India Tax Services Pvt Ltd,2.3,7.02.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
653,Prolifics Global Technology,3.0,12.02.2019,2,1,0,0,NA,NA,NA,NA,NA,
654,Tata Trent MBA,4.5,14.02.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
655,Dyson Global Technology,5.8,15.02.2019,0,0,1,0,0,0,0,1,0,
656,Apollo Munich Insurance MBA,3.0,19.01.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
657,D.E.Shaw Group Intern,1.0 PM,25.01.2019,NA,1,NA,NA,NA,NA,0,0,0,
658,ClassKlap,5.5,21.02.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
659,Microsoft Intern,"80,000 PM",21.02.2019,NA,2,NA,NA,NA,NA,0,0,0,
660,VEDA IIT,3.6,22.02.2019,7,NA,NA,NA,NA,NA,NA,NA,NA,
661,Auto Vision Labs,3.0,27.02.2019,NA,2,NA,0,NA,NA,2,NA,NA,
662,Divis Labs,2.1,28.02.2019,NA,NA,NA,NA,NA,NA,NA,18,NA,
663,ICICI Bank MBA,2.4,8.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
664,GENPACT MBA,3.0,8.03.2019,0,0,0,0,0,0,0,0,0,
665,Sirpur Paper Mills,3.3,9.03.2019,NA,NA,NA,NA,NA,NA,NA,3,NA,
666,AtoS Syntel,3.1,10.03.2019,0,0,0,1,NA,NA,NA,NA,NA,
667,OPPO R&D Center,3.0,13.03.2019,2,NA,NA,NA,NA,NA,NA,NA,NA,
668,Ninjacart pool MBA,4.0,14.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
669,HDFC AMC MBA,3.0,16.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
670,"EA Games (srinidhhi, osmania)",11.0,18.03.2019,NA,2,NA,0,NA,NA,NA,NA,NA,
671,Mech Zone Solutions,3.0,23.03.2019,2,1,1,3,9,10,7,2,2,
672,Frontier Business Systems MBA,3.5,25.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
673,Cyient,3.3,27.03.2019,0,1,0,0,NA,NA,NA,NA,NA,
674,Kotak Mahindra Bank Ltd   MBA,4.0,27.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
675,Aarvee Associates,3.6,13.04.2019,NA,NA,NA,NA,NA,NA,2,NA,NA,
676,Hitachi Consulting,6.5,9.05.2019,NA,1,NA,0,NA,NA,NA,NA,NA,
677,"Tecnicas Reunidas Engineers
India Pvt Ltd",2.8,10.05.2019,NA,NA,NA,NA,0,NA,NA,1,NA,
678,Water Health,4.5,2.05.2019,NA,NA,NA,NA,0,NA,NA,1,NA,
679,Medha Servo Drives Pvt Ltd.,3.5,10.05.2019,2,NA,NA,NA,NA,NA,NA,NA,0,
680,HDFC AMC MBA,3.0,16.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
681,ITC,8.0,14.05.2019,0,0,0,2,0,NA,NA,NA,NA,
682,Aurobindo Pharma Limited,3.6,21.06.2019,NA,NA,NA,NA,3,NA,NA,1,NA,
683,KoffeMedia Nuronics,4.0,26.06.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
684,Kore.ai,5.0,29.06.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
685,Darwinbox,8.4,11.07.2019,NA,1,NA,1,NA,NA,NA,NA,NA,
686,Accolite Software Pvt Ltd,8.0,12.07.2019,NA,5,NA,0,NA,NA,NA,NA,NA,
687,Microsoft,41.0,13.07.2019,0,2,0,0,NA,NA,NA,NA,NA,
688,JPMorgan Chase & Co.,14.0,14.07.2019,NA,29,NA,6,NA,NA,NA,NA,NA,
689,EPAM Ltd,6.0,23.07.2019,0,3,NA,3,NA,NA,NA,NA,NA,
690,"Magnitude Software Ind Pvt.Ltd,",7.7,23.07.2019,NA,2,NA,0,NA,NA,NA,NA,NA,
691,Deloitte USI,7.6,"24.07.2019 &
21.08.2019",16,27,5,23,NA,NA,NA,NA,NA,
692,Oracle,9.5,"27.07.2019 &
15.10.2019",NA,8,NA,5,NA,NA,NA,NA,NA,
693,Hyundai Mobis R&D,4.5,31.07.2019,1,1,NA,1,NA,NA,NA,NA,NA,
694,Factset,8.9,02.08.2019,0,3,NA,3,NA,NA,NA,NA,NA,
695,Jaro Education,12.0,04.08.2019,0,0,0,0,1,0,0,0,0,
696,Byju's,10.0,13.08.2019,1,3,0,0,2,1,1,1,0,
697,HackWithInfy  Infosys SEP,5.0,14.08.2019,2,3,0,1,NA,NA,NA,NA,NA,
698,Loyalty Juggernaut India P Ltd,7.5,16.08.2019,NA,0,NA,4,NA,NA,NA,NA,NA,
699,Delhivery,8.0,19.08.2019,NA,3,NA,1,NA,NA,NA,NA,NA,
700,NCR Corporation,7.0,20.08.2019,0,7,NA,3,NA,NA,NA,NA,NA,
701,Just Dial,3.5,22.08.2019,0,0,0,0,0,1,0,1,0,
702,TCS NQT Ninja,3.6,26.08.2019,42,26,9,29,3,2,1,1,0,
703,Larsen Toubro Infotech (LTI),5.5,26.08.2019,41,41,9,21,3,1,0,0,0,
704,Larsen Toubro Infotech (LTI),6.5,26.08.2019,4,5,1,5,0,0,0,0,0,
705,Dr Reddy's Lab,3.5,27.08.2019,NA,NA,NA,NA,NA,NA,NA,NA,7,
706,Cognizant,4.0,03.09.2019,29,17,11,15,17,1,5,2,0,
707,Infosys INFYTQ,4.0,06.09.2019,46,29,31,22,36,2,13,7,3,
708,TechnipFMC Technologies Ltd,6.0,09.09.2019,NA,NA,NA,NA,3,0,NA,NA,NA,
709,Next Education,5.0,11.09.2019,NA,3,NA,3,NA,NA,NA,NA,NA,
710,Deloitte USI Tax,6.5,12.09.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
711,Accenture Freshers Minds pool,4.5,14.09.2019,56,21,10,27,23,6,10,4,6,
712,Hexagon Capability Centre,5.5,18.09.2019,NA,3,NA,3,NA,NA,NA,NA,NA,
713,IBM,4.7,19.09.2019,1,2,0,0,NA,NA,NA,NA,NA,
714,MicronTechnology,7.5,20.09.2019,14,20,NA,16,NA,NA,NA,NA,NA,
715,Hitachi Consulting,6.5,21.09.2019,NA,1,NA,0,NA,NA,NA,NA,NA,
716,VEDA IIT,3.6,29.09.2019,2,NA,NA,NA,NA,NA,NA,NA,NA,
717,Volante Software Pvt Ltd,4.5,03.10.2019,NA,1,NA,2,NA,NA,NA,NA,NA,
718,Hindustan Unilever,7.0,03.10.2019,NA,NA,0,NA,1,0,NA,0,NA,
719,Cultfit,4.0,10.10.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
720,ITC,8.0,11.10.2019,NA,NA,0,NA,1,0,NA,0,NA,
721,Sales Force Com Pvt Ltd,11.9,11.10.2019,NA,0,NA,1,NA,NA,NA,NA,NA,
722,ZF Technologies,4.3,21.10.2019,5,1,2,0,4,NA,NA,NA,NA,
723,Unistring Tech Solutions (UTS),3.0,23.10.2019,9,0,0,NA,NA,NA,NA,NA,NA,
724,S2Tech Com India Pvt Ltd MBA,3.5,31.10.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
725,Verizon,5.5,01.11.2019,NA,2,NA,1,NA,NA,NA,NA,NA,
726,Gingerboard pool,1.9,01.11.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
727,JK Technosoft,3.5,02.11.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
728,Invesco Hack2Hire pool,12.0,02.11.2019,NA,0,NA,1,NA,NA,NA,NA,NA,
729,Modak Analytics,5.0,08.11.2019,0,14,NA,0,NA,NA,NA,NA,NA,
730,Google,10.5,13.11.2019,0,3,0,0,NA,NA,NA,NA,NA,
731,Godrej & Boyce Mfg Co,5.5,18.11.2019,NA,NA,NA,NA,4,2,1,NA,NA,
732,Kotak Life Insurance,3.5,19.11.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
733,Value Labs MBA pool,2.0,20.11.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
734,MRF Ltd,5.0,21.11.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
735,TCS pool,5.8,23.11.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
736,Invesco  Pvt Ltd MBA,4.2,01.12.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,
737,Raam Group MBA,3.8,02.12.2019,0,0,0,0,0,0,0,1,0,
